from,job_id,sektor,organisation,to,person_id,position
2000-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2004-12-31,paolo-garzotti,Principal Administrator for WTO proceedings
1998-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",1998-12-31,paolo-garzotti,
1994-01-01,european-commission-directorate-general-for-taxation-and-customs-union,European Commission,"European Commission, Directorate-General for Taxation and Customs Union",1998-12-31,paolo-garzotti,
,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,jan-schmitz,"Policy Coordinator, Trade Relations with North America"
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,matthew-jaffe,Office of General Counsel
2011-01-01,neville-peterson-llp-law-firm,Private sector,Neville Peterson LLP law firm,2012-12-31,matthew-jaffe,Counsel
2003-01-01,crowell-moring-llp-law-firm,Private sector,Crowell & Moring LLP law firm,2011-12-31,matthew-jaffe,Partner und Senior Counsel
1994-01-01,lipstein-jaffe-lawson-llp-law-firm,Private sector,Lipstein Jaffe & Lawson LLP law firm,2003-12-31,matthew-jaffe,Partner
2004-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,dawn-shackleford,Deputy Assistant U.S. Trade Representative for WTO and Multilateral Affairs
1998-01-01,office-of-the-under-secretary-of-defense-for-policy,Public sector,Office of the Under Secretary of Defense for Policy,2004-12-31,dawn-shackleford,Policy Analyst within the Office of the Under Secretary of Defense for Policy
2011-01-01,european-commission-directorate-general-for-health-and-food-safety,European Commission,"European Commission, Directorate-General for Health and Food Safety",,lorenzo-terzi,"Head of Unit, Bilateral and International Relations"
2012-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,ulrich-weigl,"Deputy Head of Unit, Agriculture, Fishing, Sanitary and Phytosanitary Market Access, Biotechnology"
2012-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),,mary-ryckman,Senior Advisor for Trade Policy Affairs
2002-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2012-12-31,mary-ryckman,Assistant Trade Representative
1998-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),2002-12-31,mary-ryckman,Deputy Assistant US Trade Representative for Canada
1993-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),1998-12-31,mary-ryckman,"Director, Investment Affairs"
1989-01-01,ustr-office-of-the-u-s-trade-representative,Office of the U.S. Trade Representative (USTR),USTR (Office of the U.S. Trade Representative),1993-12-31,mary-ryckman,Multilateral Trade Negotiations
1982-01-01,bank-of-boston,Private sector,Bank of Boston,1986-12-31,mary-ryckman,Loan Officer
,european-commission-directorate-general-for-agriculture-and-rural-development,European Commission,"European Commission, Directorate-General for Agriculture and Rural Development",,raimundo-serra,"Deputy Head of Unit, International and Bilateral Relations, Americas"
2012-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",,petros-sourmelis,"Head of Unit, Market Access, Industry, Energy and Raw Materials"
2009-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2011-12-31,petros-sourmelis,"Head of Unit, Market Access"
2005-01-01,european-commission-directorate-general-for-trade,European Commission,"European Commission, Directorate-General for Trade",2009-12-31,petros-sourmelis,"Head of Unit, International Negotiations on Trade in Services and Investments"
2001-01-01,european-commission-eu-delegation-for-relations-with-the-united-states,European Commission,"European Commission, EU Delegation for Relations with the United States",2004-12-31,petros-sourmelis,Head of Trade Sector
,european-commission,European Commission,European Commission,,petros-sourmelis,"Deputy Head of Unit, WTO Proceedings"
